Player	Age	Tm	Pos	GP	G	A	PTS	+/-	PIM
Max Jones	21	ANA	LW	59	8	4	12	-6	36
Seth Jones	25	CBJ	D	56	6	24	30	10	20
Mathieu Joseph	22	TBL	RW	37	4	3	7	-2	16
Roman Josi	29	NSH	D	69	16	49	65	22	41
Tyson Jost	21	COL	C	67	8	15	23	11	22
Tomas Jurco	27	EDM	RW	12	0	2	2	1	4
Nazem Kadri	29	COL	C	51	19	17	36	7	97
Dominik Kahun	24	TOT	C	56	12	19	31	8	8
Dominik Kahun	24	PIT	C	50	10	17	27	6	8
Dominik Kahun	24	BUF	C	6	2	2	4	2	0
Kaapo Kakko	18	NYR	RW	66	10	13	23	-26	14
Vladislav Kamenev	23	COL	LW	38	1	7	8	-2	8
David Kampf	25	CHI	C	70	8	8	16	-11	8
Steven Kampfer	31	BOS	D	10	0	2	2	2	2
Evander Kane	28	SJS	LW	64	26	21	47	-12	122
Patrick Kane	31	CHI	RW	70	33	51	84	8	40
Kasperi Kapanen	23	TOR	RW	69	13	23	36	0	22
Erik Karlsson	29	SJS	D	56	6	34	40	-15	16
Melker Karlsson	29	SJS	C	61	6	6	12	-7	20
William Karlsson	27	VEG	C	63	15	31	46	11	16
David Kase	23	PHI	RW	6	1	0	1	1	0
Ondrej Kase	24	TOT	RW	55	7	17	24	-7	14
Ondrej Kase	24	ANA	RW	49	7	16	23	-7	10
Ondrej Kase	24	BOS	RW	6	0	1	1	0	4
Zack Kassian	29	EDM	RW	59	15	19	34	0	69
Martin Kaut	20	COL	RW	9	2	1	3	-1	2
Duncan Keith	36	CHI	D	61	3	24	27	1	18
Clayton Keller	21	ARI	C	70	17	27	44	-6	28
Joel Kellman	25	SJS	F	31	3	4	7	-1	4
Adrian Kempe	23	LAK	LW	69	11	21	32	-10	29
Michal Kempny	29	WSH	D	58	3	15	18	19	22
Alexander Kerfoot	25	TOR	C	65	9	19	28	-2	32
Phil Kessel	32	ARI	RW	70	14	24	38	-21	22
Jujhar Khaira	25	EDM	LW	64	6	4	10	-19	38
